Marca,Modelo,Ano,Kilometros,Cilindrada,Combustivel,Preco,Estado,Fornecedor_ID
bmw,serie4,2019,0,420,Gasoleo,57000,novo,1
audi,a3,2018,200000,300,Gasolina,50000,usado,2
mercedes,classea,2017,150000,200,Gas,40000,usado,3
ferrari,911,2000,0,200,Gas,100000,novo,4
mercedes,amggt,2022,0,500,Hibrido,53000,novo,5
tesla,modelx,2018,0,600,Eletrico,70000,novo,6
seat,ibiza,2002,111111,290,Gasolina,10000,usado,7
opel,corsa,2000,200000,200,Gasoleo,9000,usado,8
ferrari,f40,1990,210000,900,Gas,110000,usado,2
toyota,yaris,2000,202000,500,Gasoleo,12000,usado,2
mclaren,p1,2018,0,400,Gasolina,90000,novo,1
nissan,gtr,2008,200040,300,Gasolina,30000,usado,3
peugeot,206,2000,200005,300,Gasoleo,15000,usado,6
xiaomi,scooter,2019,2000,200,Eletrico,5000,usado,7
mazda,rx7,2000,10000,210,Gasolina,25000,usado,3
bmw,serie3,2010,0,1200,Gasoleo,35000,novo,3
bmw,serie5,2020,200000,900,Eletrico,29000,usado,2
audi,a4,2011,200000,800,Gasolina,25000,usado,2
audi,a6,2012,200000,700,Gas,55000,usado,4
mercedes,classec,2013,0,720,Hibrido,5000,novo,6
mazda,rx8,2014,200000,600,Gasolina,45000,usado,7
mercedes,classeb,2015,200000,500,Gasoleo,65000,usado,5
mercedes,classea,2016,0,400,Gasolina,75000,novo,4
bmw,serie1,2017,200000,300,Gasoleo,50000,usado,6
tesla,model3,2018,0,200,Eletrico,75000,novo,8
opel,astra,2019,200000,500,Gasoleo,35000,usado,2
seat,leon,2020,0,400,Gasolina,45000,novo,4
toyota,corolla,2021,0,300,Gasoleo,55000,novo,3
